url,id,crawled,status,crawlingDate
https://nhadatvui.vn/can-ban-nhanh-100m2-gia-chi-tu-1-2t-view-song-dau-trung-tam-tp-hoa-binho93156622091657524325,1657524325,1,available,2022-07-11 14:36:08.626752+07:00
https://nhadatvui.vn/hay-de-san-pham-ban-mua-lam-nen-gia-tri-cua-ban-1657524312,1657524312,1,available,2022-07-11 14:36:09.182567+07:00
https://nhadatvui.vn/ban-nha-hem-1041-tran-xuan-soan-p-tan-hung-q71657524219,1657524219,1,available,2022-07-11 14:36:09.891837+07:00
https://nhadatvui.vn/tecco-binh-minh-xung-dang-la-can-ho-duoc-mong-cho-nhat-cho-mot-cuoc-song-van-minh-hien-dai-o-thanh-hoa1657524175,1657524175,1,available,2022-07-11 14:36:10.487759+07:00
https://nhadatvui.vn/ban-dat-trung-tam-kcn-bau-bang-full-tho-cu-so-san1657524046,1657524046,1,available,2022-07-11 14:36:11.066537+07:00
https://nhadatvui.vn/ban-dat-cho-thanh-tan-huyen-tan-chau-tay-ninh-view-nui-ba-den1657524029,1657524029,1,available,2022-07-11 14:36:11.611548+07:00
https://nhadatvui.vn/cong-viec-ban-can-ban-nhanh-100m2-view-song-dau-trung-tam-tp-hoa-binho9315662091657523847,1657523847,1,available,2022-07-11 14:36:12.166231+07:00
https://nhadatvui.vn/nha-1-tret-2-lau-3tolet-2pn-so-hong-rieng-quan-go-vap1657523721,1657523721,1,available,2022-07-11 14:36:12.773550+07:00
https://nhadatvui.vn/chinh-chu-ban-96m2-dat-doi-dien-dau-gia-moi-xom-dam-van-noi-cuc-hot1657523722,1657523722,1,available,2022-07-11 14:36:13.324952+07:00
https://nhadatvui.vn/ban-dat-chinh-chu-dong-phong-ngo-6m-hon-120m2-ma-gia-thoa-thuan-cuc-re-chi-23tr5-m2-nhanh-tay-keo-lo1657523520,1657523520,1,available,2022-07-11 14:36:13.867318+07:00
https://nhadatvui.vn/chi-tu-650-trieu-so-huu-ngay-lo-dat-vang-tai-tay-ninh1657523490,1657523490,1,available,2022-07-11 14:36:14.422404+07:00
https://nhadatvui.vn/bat-chap-gia-pho-quan-nhan-36m-4t-khach-ung-la-coc-ngo-rong-gan-pho1657523483,1657523483,1,available,2022-07-11 14:36:14.973039+07:00
https://nhadatvui.vn/chi-tu-600tr-so-huu-ngay-lo-dat-nam-ngay-thi-tran-go-dau1657523467,1657523467,1,available,2022-07-11 14:36:15.540938+07:00
https://nhadatvui.vn/nha-tho-kdc-thang-long-home-thu-duc-duong-1-tam-phu-hxh-trai-nhua-8m-dt-110m2-ngang-51657523373,1657523373,1,available,2022-07-11 14:36:16.103400+07:00
https://nhadatvui.vn/the-marq-duoc-phat-trien-boi-chu-dau-tu-hongkong-land-the-marq-quan-11657523365,1657523365,1,available,2022-07-11 14:36:16.736265+07:00
https://nhadatvui.vn/ban-can-ho-70-4m2-tang-16-ban-cong-dong-bac-ho-tro-lai-suat-0-trong-12-thang1657523327,1657523327,1,available,2022-07-11 14:36:17.394240+07:00
https://nhadatvui.vn/can-gap-ban-lo-dat-nam-tren-mat-tien-duong-16m1657523091,1657523091,1,available,2022-07-11 14:36:17.967531+07:00
https://nhadatvui.vn/ban-dat-nen-gia-f0-tai-trung-tam-tx-ben-cat1657523029,1657523029,1,available,2022-07-11 14:36:18.528126+07:00
https://nhadatvui.vn/the-grand-manhattan-chcc-6-2pn-71m2-view-song-saigon-va-tt-sg-bitexco1657523027,1657523027,1,available,2022-07-11 14:36:19.144245+07:00
https://nhadatvui.vn/ban-nha-2-tang-2-mat-thoang-kiet-nguyen-hue-tp-hue1657523009,1657523009,1,available,2022-07-11 14:36:19.715180+07:00
https://nhadatvui.vn/96m2-dat-dong-phuong-kien-thuy-chinh-chu1657522873,1657522873,1,available,2022-07-11 14:36:20.483443+07:00
https://nhadatvui.vn/chu-can-ra-gap-nen-b10-xx-kdt-sg-riverpark-dt-118m2-gia-re-nhat-khu-vuc-2ty41657522739,1657522739,1,available,2022-07-11 14:36:21.057323+07:00
https://nhadatvui.vn/ban-dat-gia-re-tai-kdc-quy-duc-binh-chanh-co-shr-va-duoc-phep-xay-dung-tu-do-voi-muc-gia-uu-da-cho-mn-dau-tu1657522601,1657522601,1,available,2022-07-11 14:36:21.669180+07:00
https://nhadatvui.vn/chinh-chu-ban-nha-duong-vu-tong-phan-p-an-phu-q-2-dt-16x18m-280-5m2-3-lau-gia-chi-80-82-ty1657522229,1657522229,1,available,2022-07-11 14:36:22.247535+07:00
https://nhadatvui.vn/nha-hem-3m-3-5-x-10m-nguyen-thai-hoc-gia-4-1-ty-binh-thanh1657522082,1657522082,1,available,2022-07-11 14:36:22.899131+07:00
https://nhadatvui.vn/ban-sieu-biet-thu-ho-boi-san-vuon-240m2-4-tang-moi-dep-gan-song-hanh-an-phu-an-khanh-q2-gia-69-ty1657522063,1657522063,1,available,2022-07-11 14:36:23.471285+07:00
https://nhadatvui.vn/hang-doc-quyen-vi-tri-doc-ton-sun-riverpolis-1657522007,1657522007,1,available,2022-07-11 14:36:23.985041+07:00
https://nhadatvui.vn/biet-thu-10-x-20m-ham-3-lau-goc-2mt-ngay-nguyen-quy-canh-p-an-phu-quan-2-chi-45-ty1657521577,1657521577,1,available,2022-07-11 14:36:24.574504+07:00
https://nhadatvui.vn/minh-khai-dien-tich-64m2-3-tang-gia-chao-4-85-ty-1657521513,1657521513,1,available,2022-07-11 14:36:25.169329+07:00
https://nhadatvui.vn/biet-thu-gan-cong-vien-khu-c-phuong-an-phu-q-2-dt-10-x-20m-ham-3-lau-dep-gia-45-ty1657521383,1657521383,1,available,2022-07-11 14:36:25.752502+07:00
https://nhadatvui.vn/hem-3-5m-nguyen-trung-truc-3-4-x-9m-2-lau-3-7-ty-binh-thanh1657521313,1657521313,1,available,2022-07-11 14:36:26.327212+07:00
https://nhadatvui.vn/ban-nha-rieng-dt-10-x-20m-nha-co-ham-an-phu-an-khanh-quan-21657521202,1657521202,1,available,2022-07-11 14:36:27.057949+07:00
https://nhadatvui.vn/ban-nha-ham-3-l-co-thang-may-mt-duong-so-5-p-ap-ak-quan-2-ngang-8x19-gia-48ty-tl1657521005,1657521005,1,available,2022-07-11 14:36:27.634225+07:00
https://nhadatvui.vn/ban-gap-biet-thu-ngay-tran-luu-quan-2-dien-tich-200m2-10x20-ham-tret-2l-st-gia-45-ty1657520835,1657520835,1,available,2022-07-11 14:36:28.210528+07:00
https://nhadatvui.vn/xuat-canh-can-ban-biet-thu-san-vuon-ven-song-sg-p-an-phu-q2-dt-10x17m-cn-170m2-ham-3l-gia-41-ty1657520657,1657520657,1,available,2022-07-11 14:36:28.768723+07:00
https://nhadatvui.vn/can-ban-nha-pho-kdc-van-minh-p-an-phu-quan-2-tp-thu-duc-dien-tich-183-2-m2-gia-dau-tu1657520457,1657520457,1,available,2022-07-11 14:36:29.345935+07:00
https://nhadatvui.vn/30-ty-so-huu-villa-mat-tien-duong-so-phuong-an-phu-quan-2-dt-8x20m-duong-rong-10m-thong-thoang1657520247,1657520247,1,available,2022-07-11 14:36:29.894730+07:00
https://nhadatvui.vn/ban-nha-co-nheu-dan-tri-cao-40m2-3-5-ty1657520188,1657520188,1,available,2022-07-11 14:36:30.624802+07:00
https://nhadatvui.vn/ban-nha-khu-dan-cu-van-minh-an-phu-q-2-dien-tich-183-2m2-gia-tot1657520089,1657520089,1,available,2022-07-11 14:36:31.252445+07:00
https://nhadatvui.vn/dat-ne-da-co-so-o-ben-luc-long-an-gia-cuc-tot-18tr-m21657519965,1657519965,1,available,2022-07-11 14:36:31.811823+07:00
https://nhadatvui.vn/chi-30-ty-so-huu-biet-thu-ham-2-lau-dt-8x20m-vuong-vuc-p-an-phu-quan-21657519879,1657519879,1,available,2022-07-11 14:36:32.434588+07:00
https://nhadatvui.vn/hot-ban-gap-biet-thu-26-3-ty-doi-dien-cong-vien-phuong-an-phu-quan-2-tret-3-lau1657519533,1657519533,1,available,2022-07-11 14:36:33.068483+07:00
https://nhadatvui.vn/ban-nha-biet-thu-duong-so-34-an-phu-128m2-gia-26ty1657519243,1657519243,1,available,2022-07-11 14:36:33.645200+07:00
https://nhadatvui.vn/that-100-biet-thu-25-9-ty-luong-dinh-cua-an-phu-q2-gan-cong-vien-ham-3-tang-7x20m-25-9-ty1657519041,1657519041,1,available,2022-07-11 14:36:34.194819+07:00
https://nhadatvui.vn/ban-lo-dat-mat-tien-ngay-duong-mai-chi-tho-phuong-an-phu-quan-2-dt-137m2-gia-22-7-ty-tl1657518859,1657518859,1,available,2022-07-11 14:36:34.776380+07:00
https://nhadatvui.vn/bat-chap-gia-pho-quan-nhan-36m-4t-khach-ung-la-coc-ngo-rong-gan-pho1657518827,1657518827,1,available,2022-07-11 14:36:35.381025+07:00
https://nhadatvui.vn/22-ty-5-co-nha-tret-3-lau-phuong-an-phu-an-khanh-quan-2-ngang-5-dai-25m-duong-2-o-to1657518683,1657518683,1,available,2022-07-11 14:36:35.965592+07:00
https://nhadatvui.vn/ban-biet-thu-vip-ngay-cao-duc-lan-p-an-phu-q2-dt-8-x-18m-tret-3-lau-san-thuong1657518540,1657518540,1,available,2022-07-11 14:36:36.542989+07:00
